,title,address_code,beds,baths,year_built,tenure,property_type,mrt_distance,sqft,price
3591,4 Bed Condo for Sale in The Lakefront Residences,['(D22)'],4,4,2014,99,Condo,['(207 m)'],"1,938","2,200,000"
3592,3 Bed Condo for Sale in Hilltop Grove,['(D23)'],3,3,2002,99,Condo,['(790 m)'],"1,249","1,138,000"
3593,4 Bed Condo for Sale in Stratum,['(D18)'],4,4,2016,99,Condo,,"1,810","1,810,000"
3594,1 Bed Condo for Sale in The Clift,['(D1)'],1,1,2011,99,Apartment,['(329 m)'],775,"1,580,000"
3595,2 Bed Condo for Sale in The Santorini,['(D18)'],2,2,2018,99,Condo,,743,"955,000"
3596,3 Bed Condo for Sale in The Luxurie,['(D19)'],3,2,2015,99,Condo,['(258 m)'],"1,012","1,250,000"
3597,5 Bed Condo for Sale in One Pearl Bank,['(D3)'],5,6,2023,99,Condo,['(202 m)'],"2,787","8,800,000"
3598,1 Bed Condo for Sale in The Clift,['(D1)'],1,1,2011,99,Condo,['(329 m)'],520,"1,250,000"
3599,2 Bed Condo for Sale in Pebble Bay,['(D15)'],2,2,1997,99,Condo,['(1847 m)'],"1,378","2,200,000"
3600,7 Bed House for Sale in Cove Way,['(D4)'],7,5,,,Bungalow,,"107,639","18,000,000"
3601,3 Bed Condo for Sale in Thomson Euro-Asia,['(D11)'],3,3,2002,Freehold,Condo,['(240 m)'],"1,292","3,000,000"
3602,HDB Flat for Sale in 7 Kim Tian Place,['(D3)'],3,2,1976,99,HDB,['(287 m)'],"1,410","1,000,000"
3603,2 Bed Condo for Sale in Wilkie Regency,['(D9)'],2,2,2002,Freehold,Condo,['(396 m)'],840,"1,500,000"
3604,HDB Flat for Sale in 30 Jalan Klinik,['(D3)'],2,1,1976,99,HDB,['(223 m)'],624,"345,000"
3605,3 Bed Condo for Sale in TRE Residences,['(D14)'],3,2,2018,99,Condo,['(223 m)'],764,"1,250,000"
3606,3 Bed Condo for Sale in The Sierra,['(D10)'],3,2,1998,94,Condo,['(772 m)'],"1,033","1,580,000"
3607,2 Bed Condo for Sale in The Skywoods,['(D23)'],2,1,2016,99,Condo,['(568 m)'],613,"920,000"
3608,1 Bed Condo for Sale in Sennett Residence,['(D13)'],1,1,2017,99,Condo,['(31 m)'],582,"940,000"
3609,1 Bed Condo for Sale in Alex Residences,['(D3)'],1,1,2018,99,Condo,['(265 m)'],474,"889,000"
3610,1 Bed Condo for Sale in The Santorini,['(D18)'],1,1,2018,99,Condo,,527,"678,000"
3611,3 Bed Condo for Sale in Angullia Park Residences @ Orchard,['(D10)'],3,3,2010,Freehold,Condo,['(368 m)'],"1,399","3,880,000"
3612,HDB Flat for Sale in 257A Compassvale Road,['(D19)'],3,,2001,99,HDB,['(281 m)'],"1,184","622,000"
3613,4 Bed Condo for Sale in One-North Eden,['(D5)'],4,3,2025,99,Condo,['(460 m)'],"1,399","2,510,000"
3614,HDB Flat for Sale in 13 Cantonment Close,['(D2)'],3,2,2002,99,HDB,['(1068 m)'],"1,184","838,000"
3615,2 Bed Condo for Sale in The Petals,['(D23)'],2,3,2002,Freehold,Condo,,"1,905","1,680,000"
3616,3 Bed Condo for Sale in Regis Mansions,['(D21)'],3,2,1997,Freehold,Condo,['(1078 m)'],"1,206","1,500,000"
3617,4 Bed Condo for Sale in 8 St Thomas,['(D9)'],4,4,2018,Freehold,Condo,['(505 m)'],"1,755","4,999,999"
3618,3 Bed Condo for Sale in Robin Residences,['(D10)'],3,2,2016,Freehold,Condo,['(322 m)'],990,"2,450,000"
3619,3 Bed Condo for Sale in Oleander Towers,['(D12)'],3,3,1997,99,Condo,['(388 m)'],"1,152","1,280,000"
3620,HDB Flat for Sale in 310A Punggol Walk,['(D19)'],3,2,2016,99,HDB,['(309 m)'],990,"550,000"
